gdp;mining;ind;eletco;eletin;eletot;eletho;constr;retail;rtailb;export;import;diesel;truckt;jobrtl;jobtrs;jobacc;jobhlt;jobedc;credit
153.06;93.4;100;177.0797377;149.0988362;150.2896996;146.0138159;91.03821393;72.8;76.7;100.06;120.81;149.1850431;135.4985323;169.5765654;138.051909;131.6019262;144.0006175;139.3367272;225.9633403
153.06;90.5;100;183.085951;150.4686052;153.4763948;146.2744928;90.75872389;71;80.9;96.88;140.36;158.1975072;137.279836;170.515578;139.0212314;131.9798637;144.6299125;139.9365156;232.6548239
154.75;92.8;106.4;190.5074215;152.6519963;156.2124464;148.2208802;95.02661228;76.7;79.9;97.78;142.58;165.8676894;143.1698259;171.7387058;139.7817756;132.5009365;145.2408588;140.2353728;233.5473248
154.75;88.8;102.2;199.5857784;152.5490061;155.6974249;150.25416;91.86913025;74.9;77.4;85.9;134.17;155.3211889;137.5544483;173.5830824;140.4491828;133.2262473;145.8862698;140.1753185;233.5912679
154.75;92.4;94.2;210.7352434;150.0566446;158.8197425;154.1469349;86.28688332;101.2;95.4;95.18;137.03;148.0345158;138.7875511;173.0060946;139.7312707;133.1512519;145.9576261;136.0972854;250.0441957
152.53;94.2;91;201.9675526;138.2642727;156.1480687;160.4900726;84.48152876;75.4;75.3;74.45;128.46;130.3930968;126.2167531;174.4098898;139.7946989;133.6560428;146.6259488;135.7460104;210.1725906
152.53;86.8;89.1;203.1411805;144.9895293;156.3090129;154.8768302;81.97367222;69.9;71.8;79.83;130;152.6366251;126.785889;175.2083115;140.5777474;134.1166623;147.0773869;138.7916193;213.0485951
152.53;97;105.6;212.702796;152.0752515;162.1351931;159.0650389;99.34737717;79.1;90.5;102.43;166.75;166.442953;153.9572414;177.1128673;141.9134531;134.6301265;147.6017348;140.4342024;265.0333615
158.86;95;99.6;207.455989;153.6715988;159.2060086;159.0129035;92.27703463;75.2;77;96.87;149.61;159.5397891;143.6006964;178.3183081;143.5380764;135.2239615;148.5888796;141.5027345;241.8965265
158.86;98.8;104.6;195.3054884;154.7426963;157.9184549;151.3490029;97.3003015;79.8;81.4;107.89;153.04;158.9645254;152.6967154;179.6992394;144.5697872;135.7427492;149.4703004;142.2567596;254.1945521
158.86;97.4;102.8;187.0900932;156.3390436;157.5643777;150.7755138;95.32120989;77.1;80.5;105.02;160.41;166.0594439;146.2703987;180.6935566;145.4265134;136.1390461;150.1157114;141.971384;260.3814469
163.63;103.2;107.1;180.3244736;157.6058224;156.9527897;146.813225;97.33051664;79.7;84;105.91;178.13;168.3604986;151.0349893;182.0361803;146.128977;136.5877203;150.9425713;141.2098168;251.4321937
163.63;103.4;108.4;188.1601657;159.1815716;160.7832618;153.1389842;100.7674887;80.5;87.4;111.92;179.21;172.1955896;156.868591;184.1742059;147.113748;137.3510741;151.8990377;143.3162412;261.1906073
163.63;102.8;106;195.3054884;158.6563219;167.8969957;154.7378025;98.86393494;79.5;85.7;107.36;192.71;173.9213806;155.3947543;185.839727;147.9841402;138.0088682;152.5528949;144.0811081;263.2544208
163.55;100.8;108.2;197.2040041;158.9549933;163.9055794;155.5545901;100.019664;83.4;88.7;103.86;176.57;171.620326;156.2933961;187.4807882;148.8196247;138.5970941;153.1909275;144.5100671;257.5584772
163.55;99.1;107.3;201.3462202;157.7500086;159.8819742;155.7631316;98.85638116;82.4;90.6;98.27;183.68;172.7708533;150.9624578;189.1023936;149.2944449;139.2563424;153.8143005;144.5168551;274.8342029
163.55;102;96.2;217.6389368;156.2257544;166.8025751;161.6544293;92.42055654;111.6;109.8;112.82;162.91;159.15628;152.2989463;188.0290452;148.8102665;139.2544468;153.7437208;140.2780801;286.2336665
160.45;99.4;92.8;215.7404211;148.9958461;172.1459227;170.4826867;89.7163016;81.7;83.9;79.89;150.57;138.4467881;139.7974397;189.5865888;149.1713764;139.860279;154.6237825;139.9112495;242.4011152
160.45;90.7;95.7;218.536417;149.2018264;168.1223176;163.4444107;91.95222189;75.9;82.3;87.05;156.32;165.4841802;142.5412062;191.3530127;150.036941;140.7158969;155.2611355;143.6133071;250.0320735
160.45;97;104.8;219.9861926;156.4214357;170.0536481;165.234392;98.58444491;82.2;88;97.99;171.91;167.2099712;157.4368258;192.3646718;151.1736722;140.6743223;155.5998598;145.1881995;271.5369501
166.33;96.5;97.6;217.3973076;157.9353908;166.7703863;160.5248295;90.53966414;82.9;86.3;97.92;170.17;164.5254075;150.8088896;193.9076774;153.32726;141.2744156;156.6529242;146.3945642;251.8079835
166.33;101.7;107.4;207.1798412;157.1114697;166.5128755;158.804362;101.3868991;84.8;91.9;110.44;182.44;172.5790988;162.9101255;194.7922914;154.3883082;141.7402806;157.3912441;147.1850744;275.458499
166.33;101.2;102.9;197.4111149;158.4709396;166.9957082;154.112178;100.1405246;82.5;88;112.95;179.35;176.2224353;155.8893253;195.3301519;155.2123548;142.3080438;158.2778104;146.9475913;273.9356409
169.41;104.2;106.2;195.1674146;158.9755913;167.3819742;158.6305774;101.0696401;85.3;90.1;105.28;177.49;175.8389262;161.0237666;196.1282285;155.7716221;142.8058494;158.9498222;146.1661317;261.3103145
169.41;104.3;111.2;202.9340697;163.2702805;173.9484979;159.8992049;105.6094647;85.7;92.1;122.01;204.57;189.261745;167.6509057;197.3134801;156.6168362;143.4205367;159.6495999;148.1889327;290.8870964
169.41;101.4;105;211.0113911;162.0138007;180.193133;165.5124473;104.1817994;83.6;89.7;109.09;189.23;192.7133269;162.9686208;198.7481629;157.4620503;144.1387841;160.4003464;149.0130997;274.6584303
167.75;102.7;106.5;212.4956852;161.3958598;178.7446352;162.7492723;105.0127157;87;90;104.3;186.07;181.0162991;162.9738174;200.1145995;158.3285804;144.6071421;161.1988579;149.4071763;263.6938525
167.75;102.6;104.3;214.2906455;159.469944;173.0150215;161.6718078;102.0289708;87.9;93.4;105.29;197.98;182.5503356;159.2945031;201.0756563;158.556001;145.1805144;161.8051442;149.2617073;281.3014249
167.75;104.2;95.1;224.301001;157.3895431;176.3948498;164.7999305;94.53561627;119;114.5;109.7;170.43;166.8264621;157.5343272;199.9758636;158.1747634;144.9797042;161.9381486;144.6458256;300.7167282
163.19;92.4;88.2;223.1964101;150.0257475;176.0729614;170.3089021;93.5;88;90.8;81.92;164.09;152.8283797;146.5149303;201.3600304;158.3429892;145.4987775;162.7800565;144.3925041;256.3159463
163.19;93.6;89.4;228.0980324;155.0928628;177.8755365;168.6579485;93.6;83.9;84.9;92.22;151.73;173.7296261;144.600713;202.2161293;158.8470725;145.9335069;163.5636172;148.2636941;244.9695176
163.19;98.6;99.8;242.906455;160.4483504;184.6030043;178.4941565;102.8;92.5;97.1;105.33;172.54;184.8513902;167.8831318;203.497452;159.7460595;146.1705164;164.3978555;150.4357351;291.3689559
167.97;96.2;92.3;236.6586124;159.9436987;182.832618;172.5333449;95;87.8;88.8;96.78;168.79;173.346117;152.9723257;204.1347054;161.1763875;146.7702981;165.556838;151.606369;278.514822
167.97;104.3;102.2;221.5050052;157.2041608;180.1287554;165.651475;103;91.7;96.5;114.5;184.89;181.5915628;164.6208958;204.5215784;161.8105952;147.0354828;166.4329193;152.2763935;303.438174
167.97;100.5;98;216.8450121;156.1227643;176.4270386;166.9201025;97.7;90.2;99;97.55;173.36;183.5091083;156.1953334;204.700175;162.1547711;147.4176791;167.2304601;151.9851728;296.9042797
173.63;103.9;104.6;208.2499137;156.6892101;173.6266094;161.1678325;102.3;91.4;99.3;107.71;172.18;186.0019175;162.4677955;205.2692252;162.5103849;147.8709236;168.2617778;151.3297611;285.3548032
173.63;104;112.5;217.7079738;161.0147963;181.8025751;167.1112656;108.3;94.2;106.5;114.64;182.88;203.0680729;176.3585582;205.6249948;162.7021549;148.1657118;169.1527129;153.4911489;296.405752
173.63;97.5;104.2;224.4390749;160.3865564;187.8862661;169.4226007;101.3;90.8;91.5;103.27;165.18;190.4122723;163.9549683;206.302756;163.0944591;148.531756;169.9048186;154.4264681;267.0335332
171.91;108.1;112.3;227.545737;160.129081;188.8197425;170.1003606;109.3;94.9;103.1;113.66;191.38;204.6021093;174.3975579;206.774182;163.4404918;148.7241265;170.433341;154.7612446;304.5109934
171.91;97.3;105.8;243.3897135;159.3257578;189.3025751;177.9380458;102.4;95.3;100.1;107.16;194.98;200.9587728;164.5122841;207.5728625;163.7264386;149.0692146;171.0280744;154.5849472;289.4854609
171.91;103.5;90.8;244.3907491;152.7755845;183.9914163;176.0959291;90.9;125.1;120.3;103.01;165.79;175.2636625;153.3272879;206.257244;162.2981901;148.6870962;170.7949769;149.9478532;299.5863281
167.63;94.3;94.5;248.3603728;147.3377047;189.8497854;189.633749;95.4;93.3;97.1;82.76;189.86;173.346117;156.7822898;206.7681425;162.0917143;148.7881116;171.19865;149.6524843;275.0433118
167.63;85.4;88.4;242.837418;152.3224278;183.6373391;182.0046053;88.7;83.7;85.9;79.87;157.56;184.2761266;144.4189066;207.4399935;162.6138457;149.115074;171.6268852;153.5309336;262.9301506
167.63;89.6;98.7;246.7034864;156.0094751;186.3733906;179.9713255;100.6;96.6;100.2;98.04;178.85;182.7420901;163.9063913;208.1013186;163.4412345;149.2685705;172.4832586;155.4239156;288.0020002
174.73;90.6;103.2;243.3897135;160.5822376;183.7339056;179.0155103;104.1;89.3;96.9;105.89;200.35;198.6577181;169.7756576;208.7016448;165.0726908;149.6333163;173.5888452;156.7448265;304.1836925
174.73;95.5;106.2;235.8646876;160.3453603;183.4763948;177.9728027;103.2;95.8;100.7;112.55;195.52;191.7545542;169.9245294;208.8125559;165.8260306;149.495089;174.2070727;157.3879822;319.7198749
174.73;97.1;102.3;227.6492924;157.8426997;180.7081545;175.3660338;100.3;91.7;97;111.72;177.45;189.261745;163.3811582;209.0838588;166.6182888;149.9579676;175.1338316;157.2987964;300.1363753
178.42;100.6;109;222.7821885;159.5317381;184.4742489;174.1495416;105.9;97;103;111.71;217.14;199.2329818;171.770224;209.3413571;167.0094789;149.9662254;175.9747687;156.4786834;297.3467419
178.42;101.9;113.3;227.8564032;163.610148;188.1437768;178.6331842;109.3;100;105.6;117.01;193.81;208.8207095;176.9481374;209.8697701;167.5064321;150.3656904;176.8292003;158.5245821;300.0393973
178.42;97.2;108.6;233.3448395;160.6028357;190.5257511;178.1292088;104.8;94.6;98.6;111.33;179.87;202.3010547;171.2090478;210.7561096;168.0374761;150.9529815;177.7159608;159.4546218;302.3956602
176.26;104;113.7;244.0800828;162.5905455;192.6502146;183.2384759;110.9;100;105.4;121.77;222.19;213.4228188;179.7073388;210.9813829;168.2366733;151.2080127;178.514084;159.9622076;314.8315764
176.26;100.2;106.9;254.8153262;162.8274228;193.6480687;186.1233002;103.6;102;106.1;111.92;182.7;204.7938639;164.5571489;211.5951254;168.420422;151.7783468;179.2907518;159.8175871;303.8654834
